stock_id,name,market,industry,isin,listed_date,is_emerging
0050.TW,元大台灣50,上市,,TW0000050004,2003/06/30,0
0051.TW,元大中型100,上市,,TW0000051002,2006/08/31,0
0052.TW,富邦科技,上市,,TW0000052000,2006/09/12,0
0053.TW,元大電子,上市,,TW0000053008,2007/07/16,0
0055.TW,元大MSCI金融,上市,,TW0000055003,2007/07/16,0
0056.TW,元大高股息,上市,,TW0000056001,2007/12/26,0
0057.TW,富邦摩台,上市,,TW0000057009,2008/02/27,0
0061.TW,元大寶滬深,上市,,TW0000061001,2009/08/17,0
006201.TWO,元大富櫃50,上櫃,,TW0000062017,2011/01/27,0
006203.TW,元大MSCI台灣,上市,,TW0000062033,2011/05/12,0
006204.TW,永豐臺灣加權,上市,,TW0000062041,2011/09/28,0
006205.TW,富邦上証,上市,,TW0000062058,2011/09/26,0
006206.TW,元大上證50,上市,,TW0000062066,2012/05/11,0
006207.TW,復華滬深,上市,,TW0000062074,2012/06/22,0
006208.TW,富邦台50,上市,,TW0000062082,2012/07/17,0
00636.TW,國泰中國A50,上市,,TW0000063601,2015/04/01,0
00639.TW,富邦深100,上市,,TW0000063908,2015/06/09,0
00643.TW,群益深証中小,上市,,TW0000064302,2015/12/02,0
00645.TW,富邦日本,上市,,TW0000064500,2015/11/06,0
00646.TW,元大S&P500,上市,,TW0000064609,2015/12/14,0
00652.TW,富邦印度,上市,,TW0000065200,2016/03/29,0
00657.TW,國泰日經225,上市,,TW0000065705,2016/05/09,0
00660.TW,元大歐洲50,上市,,TW0000066000,2016/07/15,0
00661.TW,元大日經225,上市,,TW0000066109,2016/07/15,0
00662.TW,富邦NASDAQ,上市,,TW0000066208,2016/06/24,0
00668.TW,國泰美國道瓊,上市,,TW0000066802,2016/10/17,0
00678.TW,群益那斯達克生技,上市,,TW0000067800,2017/01/09,0
00690.TW,兆豐藍籌30,上市,,TW0000069004,2017/03/31,0
00692.TW,富邦公司治理,上市,,TW0000069202,2017/05/17,0
00700.TW,富邦恒生國企,上市,,TW0000070002,2017/07/21,0
00701.TW,國泰股利精選30,上市,,TW0000070101,2017/08/17,0
00702.TW,國泰標普低波高息,上市,,TW0000070200,2017/08/17,0
00703.TW,台新MSCI中國,上市,,TW0000070309,2017/08/10,0
00709.TW,富邦歐洲,上市,,TW0000070903,2017/08/15,0
00712.TW,復華富時不動產,上市,,TW0000071208,2017/08/21,0
00713.TW,元大台灣高息低波,上市,,TW0000071307,2017/09/27,0
00714.TW,群益道瓊美國地產,上市,,TW0000071406,2017/10/27,0
00717.TW,富邦美國特別股,上市,,TW0000071703,2017/11/29,0
00728.TW,第一金工業30,上市,,TW0000072800,2018/04/18,0
00730.TW,富邦臺灣優質高息,上市,,TW0000073006,2018/02/08,0
00731.TW,復華富時高息低波,上市,,TW0000073105,2018/04/20,0
00733.TW,富邦臺灣中小,上市,,TW0000073303,2018/05/17,0
00735.TW,國泰臺韓科技,上市,,TW0000073501,2018/06/11,0
00736.TW,國泰新興市場,上市,,TW0000073600,2018/06/11,0
00737.TW,國泰AI機器人,上市,,TW0000073709,2018/06/11,0
00739.TW,元大MSCI A股,上市,,TW0000073907,2018/06/27,0
00752.TW,中信中國50,上市,,TW0000075209,2018/10/31,0
00757.TW,統一FANG+,上市,,TW0000075704,2018/12/06,0
00762.TW,元大全球AI,上市,,TW0000076207,2019/01/23,0
00770.TW,國泰北美科技,上市,,TW0000077007,2019/01/29,0
00771.TW,元大US高息特別股,上市,,TW0000077106,2019/05/16,0
00783.TW,富邦中証500,上市,,TW0000078302,2019/03/27,0
00830.TW,國泰費城半導體,上市,,TW0000083005,2019/05/03,0
00850.TW,元大臺灣ESG永續,上市,,TW0000085000,2019/08/23,0
00851.TW,台新全球AI,上市,,TW0000085109,2019/08/12,0
00858.TWO,永豐美國500大,上櫃,,TW0000085802,2019/09/30,0
00861.TW,元大全球未來通訊,上市,,TW0000086107,2019/11/19,0
00875.TW,國泰網路資安,上市,,TW0000087501,2020/03/30,0
00876.TW,元大全球5G,上市,,TW0000087600,2020/07/07,0
00877.TWO,復華中國5G,上櫃,,TW0000087709,2020/07/22,0
00878.TW,國泰永續高股息,上市,,TW0000087808,2020/07/20,0
00881.TW,國泰台灣科技龍頭,上市,,TW0000088103,2020/12/10,0
00882.TW,中信中國高股息,上市,,TW0000088202,2021/02/04,0
00885.TW,富邦越南,上市,,TW0000088509,2021/04/19,0
00886.TWO,永豐美國科技,上櫃,,TW0000088608,2021/03/31,0
00887.TWO,永豐中國科技50大,上櫃,,TW0000088707,2021/03/31,0
00888.TWO,永豐台灣ESG,上櫃,,TW0000088806,2021/03/31,0
00891.TW,中信關鍵半導體,上市,,TW0000089101,2021/05/28,0
00892.TW,富邦台灣半導體,上市,,TW0000089200,2021/06/10,0
00893.TW,國泰智能電動車,上市,,TW0000089309,2021/07/01,0
